Catégorie : Toutes catégories

Mois,bitcoin: (Dans tous les pays)
2020-01,18
2020-02,20
2020-03,27
2020-04,22
2020-05,29
2020-06,20
2020-07,20
2020-08,23
2020-09,19
2020-10,20
2020-11,34
2020-12,46
2021-01,91
2021-02,100
2021-03,68
2021-04,72
2021-05,95
2021-06,64
2021-07,45
2021-08,45
2021-09,44
2021-10,54
2021-11,50
2021-12,49
2022-01,60
2022-02,51
2022-03,42
2022-04,32
2022-05,51
2022-06,59
2022-07,43
2022-08,32
2022-09,32
2022-10,25
2022-11,37
2022-12,27
2023-01,29
2023-02,28
2023-03,33
2023-04,29
2023-05,26
2023-06,27
2023-07,26
2023-08,25
2023-09,23
2023-10,27
2023-11,29
2023-12,34
2024-01,41
2024-02,36
2024-03,61
2024-04,43
2024-05,31
2024-06,27
2024-07,31
2024-08,33
2024-09,27
2024-10,25
2024-11,67
2024-12,58
2025-01,46
2025-02,39
2025-03,39
2025-04,33
2025-05,32
2025-06,29
2025-07,35
